morbidity,diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,therapeuticAreas,description
lipid measurement,EFO_0004529,lipid measurement,EFO_0006796,very long-chain saturated fatty acid measurement,['EFO_0001444'],The determination of the amount of very long-chain saturated fatty acids present in a sample. VLSFAs are fatty acids with 20 or more carbons.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010357,lysophosphatidylcholine 16:0 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 16:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010356,lysophosphatidylcholine 14:0 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 14:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010119,omega-3 polyunsaturated fatty acid measurement,['EFO_0001444'],A quantification of omega-3 fatty acid in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0004530,triglyceride measurement,['EFO_0001444'],"A triglyceride  measurement is a quantification of triglycerides in some body fluid, used as a biomarker for cardiovascular disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010118,sphingomyelin measurement,['EFO_0001444'],A quantification of sphingomyeline in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006821,trans fatty acid measurement,['EFO_0001444'],"The determination of the amount of trans fatty acids, a kind of unsaturated fatty acids, present in a sample."
lipid measurement,EFO_0004529,lipid measurement,EFO_0006822,trans-16:1n-7 fatty acid measurement,['EFO_0001444'],The determination of the amount of trans fatty acids with 16 carbons and 1 double bond at the seventh N-terminal carbon present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006823,total trans-18:1 fatty acid measurement,['EFO_0001444'],The determination of the amount of trans fatty acids with 18 carbons and 1 double bond present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006824,cis/trans-18:2 fatty acid measurement,['EFO_0001444'],"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, with the first one in cis configuration and the 2nd one in trans configuration, present in a sample."
lipid measurement,EFO_0004529,lipid measurement,EFO_0007759,alpha-linolenic acid measurement,['EFO_0001444'],The determination of the amount of alpha-linolenic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010362,lysophosphatidylcholine 20:3 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 20:3 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006825,trans/cis-18:2 fatty acid measurement,['EFO_0001444'],"The determination of the amount of fatty acids with 18 carbons and 2 double bonds, with the first one in trans configuration and the 2nd one in cis configuration, present in a sample."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010361,lysophosphatidylcholine 18:2 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 18:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006826,trans/trans-18:2 fatty acid measurement,['EFO_0001444'],"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, both of which are in trans configuration, present in a sample."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010360,lysophosphatidylcholine 18:1 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 18:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010443,triacylglycerol 58:9 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:9 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010442,triacylglycerol 58:8 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:8 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010441,triacylglycerol 58:7 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:7 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010440,triacylglycerol 58:6 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:6 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010444,triacylglycerol 60:12 measurement,['EFO_0001444'],"The quantification of triacylglycerol 60:12 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0008363,gamma-linoleic acid measurement,['EFO_0001444'],quantification of the amount of gamma-linoleic acid in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0008356,dihomo-gamma-linoleic acid measurement,['EFO_0001444'],quantification of the amount of dihomo-gamma-linoleic acid in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0010733,polyunsaturated fatty acid measurement,['EFO_0001444'],The determination of the amount of polyunsaturated fatty acids present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010732,omega-6:omega-3 polyunsaturated fatty acid ratio,['EFO_0001444'],Quantification of the ratio of omega-6 polyunsaturated fatty acid to omega-3 polyunsaturated fatty acid.
lipid measurement,EFO_0004529,lipid measurement,EFO_0008357,docosatetranoic acid measurement,['EFO_0001444'],quantification of the amount of docosatetranoic acid in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0008359,eicosadienoic acid measurement,['EFO_0001444'],quantification of the amount of eicosadienoic acid in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0008350,alpha-linoleic acid measurement,['EFO_0001444'],quantification of the amount of alpha-linoleic acid in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0010340,cholesteryl ester 14:0 measurement,['EFO_0001444'],The quantification of cholesteryl ester 14:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010388,phosphatidylcholine 38:6 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 38:6 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010421,triacylglycerol 54:3 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:3 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010387,phosphatidylcholine 38:5 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 38:5 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010420,triacylglycerol 54:2 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:2 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010386,phosphatidylcholine 38:4 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 38:4 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010385,phosphatidylcholine 38:3 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 38:3 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007973,palmitoleic acid measurement,['EFO_0001444'],The determination of the amount of palmitoleic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010425,triacylglycerol 54:7 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:7 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010424,triacylglycerol 54:6 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:6 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0007975,gondoic acid measurement,['EFO_0001444'],The determination of the amount of gondoic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010423,triacylglycerol 54:5 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:5 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010389,phosphatidylcholine 40:6 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 40:6 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007974,vaccenic acid measurement,['EFO_0001444'],The determination of the amount of vaccenic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010422,triacylglycerol 54:4 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:4 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010429,triacylglycerol 56:2 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:2 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010428,triacylglycerol 56:10 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:10 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010427,triacylglycerol 54:9 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:9 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010426,triacylglycerol 54:8 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:8 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0004612,high density lipoprotein cholesterol measurement,['EFO_0001444'],The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.
lipid measurement,EFO_0004529,lipid measurement,EFO_0004611,low density lipoprotein cholesterol measurement,['EFO_0001444'],The measurement of LDL cholesterol in blood used as a risk indicator for heart disease.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010391,sphingomyelin 16:0 measurement,['EFO_0001444'],The quantification of sphingomyelin 16:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010390,sphingomyelin 14:0 measurement,['EFO_0001444'],The quantification of sphingomyelin 14:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010395,sphingomyelin 22:0 measurement,['EFO_0001444'],The quantification of sphingomyelin 22:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010394,sphingomyelin 18:1 measurement,['EFO_0001444'],The quantification of sphingomyelin 18:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010393,sphingomyelin 18:0 measurement,['EFO_0001444'],The quantification of sphingomyelin 18:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010392,sphingomyelin 16:1 measurement,['EFO_0001444'],The quantification of sphingomyelin 16:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010432,triacylglycerol 56:5 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:5 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010399,triacylglycerol 44:1 measurement,['EFO_0001444'],"The quantification of triacylglycerol 44:1 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010398,sphingomyelin 24:1 measurement,['EFO_0001444'],The quantification of sphingomyelin 24:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010431,triacylglycerol 56:4 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:4 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010397,sphingomyelin 24:0 measurement,['EFO_0001444'],The quantification of sphingomyelin 24:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010430,triacylglycerol 56:3 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:3 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010396,sphingomyelin 22:1 measurement,['EFO_0001444'],The quantification of sphingomyelin 22:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010436,triacylglycerol 56:9 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:9 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010435,triacylglycerol 56:8 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:8 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010434,triacylglycerol 56:7 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:7 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010433,triacylglycerol 56:6 measurement,['EFO_0001444'],"The quantification of triacylglycerol 56:6 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010439,triacylglycerol 58:12 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:12 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010438,triacylglycerol 58:11 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:11 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010437,triacylglycerol 58:10 measurement,['EFO_0001444'],"The quantification of triacylglycerol 58:10 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0007681,triglyceride change measurement,['EFO_0001444'],"quantification of the change in triglyceride levels in an individual over time, eg over the course of several hours after a high-fat meal "
lipid measurement,EFO_0004529,lipid measurement,EFO_0006506,hepatic lipid content measurement,['EFO_0001444'],"quantification of the lipid content of the liver, through medical imaging or from histological samples"
